Libellé;Consommation mensuelle des ménages en biens - Biens - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Produits fabriqués - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Biens durables - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Biens durables d'équipement personnel - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Textile-cuir - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Autres biens fabriqués - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Produits manufacturés - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Équipement du logement - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Automobiles - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Énergie, eau, traitement des déchets - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Produits pétroliers - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Énergie, eau, traitement des déchets, hors produits pétroliers - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Alimentaire - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO
IdBank;001690324;001690325;001690326;001690327;001690328;001690329;001690330;001690331;001690332;001690333;001690334;001690335;001690336
Dernière mise à jour;30 Janvier 2015;30 Janvier 2015;30 Janvier 2015;30 Janvier 2015;30 Janvier 2015;30 Janvier 2015;30 Janvier 2015;30 Janvier 2015;30 Janvier 2015;30 Janvier 2015;30 Janvier 2015;30 Janvier 2015;30 Janvier 2015
Mode de représentation;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue
Correction;Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO)
Période de référence de l'indice;;;;;;;;;;;;;
Périodicité;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle
Date de début;Janvier 1980;Janvier 1980;Janvier 1980;Janvier 1980;Janvier 1980;Janvier 1980;Janvier 1980;Janvier 1980;Janvier 1980;Janvier 1980;Janvier 1980;Janvier 1980;Janvier 1980
Date de fin;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014;Décembre 2014
Zone géographique;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine
Unité de mesure;Euros et euros convertis;Euros et euros convertis;Euros et euros convertis;Euros et euros convertis;Euros et euros convertis;Euros et euros convertis;Euros et euros convertis;Euros et euros convertis;Euros et euros convertis;Euros et euros convertis;Euros et euros convertis;Euros et euros convertis;Euros et euros convertis
Puissance;9;9;9;9;9;9;9;9;9;9;9;9;9
Traitement des taxes;TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises)
