Libellé;Indice des prix des 295 postes - Base 100 en 1980 - Mensuel - Ensemble hors énergie - Série arrêtée;Indice des prix des 295 postes - Base 100 en 1980 - Mensuel - Ensemble hors alimentation - Série arrêtée;Indice des prix des 295 postes - Base 100 en 1980 - Mensuel - Ensemble hors tabac et alcools - Série arrêtée;Indice des prix des 295 postes - Base 100 en 1980 - Mensuel - Ensemble non compris les produits frais - Série arrêtée;Indice des prix des 295 postes - Base 100 en 1980 - Mensuel - Ensemble des produits vendus par le commerce de détail - Série arrêtée
IdBank;000013549;000013552;000244113;000244114;000244115
Dernière mise à jour;15 Octobre 2007;16 Octobre 2007;15 Octobre 2007;15 Octobre 2007;15 Octobre 2007
Mode de représentation;Indice;Indice;Indice;Indice;Indice
Correction;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé
Période de référence de l'indice;1980;1980;1980;1980;1980
Périodicité;Mensuelle;Mensuelle;Mensuelle;Mensuelle;Mensuelle
Date de début;Janvier 1970;Janvier 1956;Janvier 1980;Janvier 1980;Janvier 1980
Date de fin;Décembre 1992;Décembre 1992;Décembre 1992;Décembre 1992;Décembre 1992
Zone géographique;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine
Unité de mesure;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet
Puissance;0;0;0;0;0
Traitement des taxes;TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises);TTC (Toutes Taxes Comprises)
