Libellé;Chômeurs au sens du BIT - Ensemble - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des 25 à 49 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des 50 ans et plus - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des femmes - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des hommes - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des moins de 25 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Femmes de 25 à 49 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Femmes de 50 ans et plus - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Femmes de moins de 25 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Hommes de 25 à 49 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Hommes de 50 ans et plus - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Hommes de moins de 25 ans - En milliers de personnes - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des 25 à 49 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble des 25 à 49 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des 50 ans et plus - Données CVS;Taux de chômage au sens du BIT - Ensemble des 50 ans et plus - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des femmes - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble des femmes - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des hommes - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble des hommes - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des moins de 25 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble des moins de 25 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Femmes de 25 à 49 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Femmes de 25 à 49 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Femmes de 50 ans et plus - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Femmes de 50 ans et plus - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Femmes de moins de 25 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Femmes de moins de 25 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Hommes de 25 à 49 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Hommes de 25 à 49 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Hommes de 50 ans et plus - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Hommes de 50 ans et plus - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Hommes de moins de 25 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Hommes de moins de 25 ans - Données CVS - France métropolitaine + DOM
IdBank;001688358;001688359;001688361;001688362;001688363;001688364;001688365;001688366;001688367;001688368;001688369;001688370;001688526;001688527;001688528;001688529;001688530;001688531;001688532;001688533;001688534;001688535;001688536;001688537;001688538;001688539;001688540;001688541;001688542;001688543;001688544;001688545;001688546;001688547;001688548;001688549
Dernière mise à jour;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014;4 Décembre 2014
Mode de représentation;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %;Proportion en %
Correction;Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS);Corrigé des variations saisonnières (CVS)
Période de référence de l'indice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Périodicité;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle
Date de début;Trimestre 1 de 1975;Trimestre 1 de 1975;Trimestre 1 de 1975;Trimestre 1 de 1975;Trimestre 1 de 1975;Trimestre 1 de 1975;Trimestre 1 de 1975;Trimestre 1 de 1975;Trimestre 1 de 1975;Trimestre 1 de 1975;Trimestre 1 de 1975;Trimestre 1 de 1975;Trimestre 1 de 1975;Trimestre 1 de 1996;Trimestre 1 de 1975;Trimestre 1 de 1996;Trimestre 1 de 1975;Trimestre 1 de 1996;Trimestre 1 de 1975;Trimestre 1 de 1996;Trimestre 1 de 1975;Trimestre 1 de 1996;Trimestre 1 de 1975;Trimestre 1 de 1996;Trimestre 1 de 1975;Trimestre 1 de 1996;Trimestre 1 de 1975;Trimestre 1 de 1996;Trimestre 1 de 1975;Trimestre 1 de 1996;Trimestre 1 de 1975;Trimestre 1 de 1996;Trimestre 1 de 1975;Trimestre 1 de 1996;Trimestre 1 de 1975;Trimestre 1 de 1996
Date de fin;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014
Zone géographique;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France (France métropolitaine + DOM);France Métropolitaine;France (France métropolitaine + DOM);France Métropolitaine;France (France métropolitaine + DOM);France Métropolitaine;France (France métropolitaine + DOM);France Métropolitaine;France (France métropolitaine + DOM);France Métropolitaine;France (France métropolitaine + DOM);France Métropolitaine;France (France métropolitaine + DOM);France Métropolitaine;France (France métropolitaine + DOM);France Métropolitaine;France (France métropolitaine + DOM);France Métropolitaine;France (France métropolitaine + DOM);France Métropolitaine;France (France métropolitaine + DOM);France Métropolitaine;France (France métropolitaine + DOM)
Unité de mesure;Individus;Individus;Individus;Individus;Individus;Individus;Individus;Individus;Individus;Individus;Individus;Individus;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%
Puissance;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Traitement des taxes;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet
